User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,22;66;0:00.38;177816;0,2;43;0:00.58;177632;0,19;65;0:00.38;177836;0,21;52;0:00.47;177844;0,2;64;0:00.37;177904;0,19;42;0:00.57;177840;0,2;65;0:00.38;177860;0,21;50;0:00.50;177776;0,21;65;0:00.38;177840;0,21;51;0:00.48;177632;0,19;43;0:00.57;177928;0,19;42;0:00.58;177864;0,18;53;0:00.46;177864;80;190;5;0,2;53,92307692;177818,1538;;;0,000133333;;
0,19;65;0:00.38;177912;0,2;65;0:00.38;177636;0,2;65;0:00.38;177636;0,19;65;0:00.37;177848;0,2;65;0:00.38;177860;0,21;65;0:00.38;177908;0,2;65;0:00.38;177640;0,19;65;0:00.38;177820;0,19;65;0:00.38;177860;0,19;65;0:00.38;177848;0,2;65;0:00.38;177864;0,21;65;0:00.38;177652;0,2;64;0:00.38;177864;80;195;5;0,197692308;64,92307692;177796;;;5,25641E-05;;
0,18;65;0:00.37;177716;0,2;65;0:00.38;177748;0,19;65;0:00.38;177636;0,2;65;0:00.37;177828;0,19;65;0:00.38;177764;0,21;64;0:00.37;177808;0,19;65;0:00.38;177936;0,21;65;0:00.37;177872;0,2;65;0:00.38;177856;0,19;65;0:00.37;177768;0,19;65;0:00.38;177844;0,2;65;0:00.38;177908;0,2;64;0:00.38;177832;80;200;5;0,196153846;64,84615385;177808,9231;;;7,5641E-05;;
0,2;99;0:00.25;177364;0,19;100;0:00.24;177364;0,2;99;0:00.25;177468;0,2;100;0:00.24;177476;0,2;99;0:00.25;177436;0,19;100;0:00.24;177244;0,19;100;0:00.25;177528;0,19;100;0:00.24;177544;0,19;99;0:00.25;177196;0,19;100;0:00.25;177504;0,19;99;0:00.24;177244;0,17;99;0:00.24;177188;0,2;100;0:00.24;177460;40;40;10;0,192307692;99,53846154;177385,8462;177369,5385;min;6,92308E-05;min;2,6E-05
0,2;100;0:00.25;177508;0,19;99;0:00.24;177392;0,2;99;0:00.24;177388;0,19;99;0:00.25;177596;0,18;100;0:00.24;177520;0,2;99;0:00.25;177184;0,21;100;0:00.25;177360;0,2;99;0:00.25;177512;0,18;100;0:00.24;177488;0,21;99;0:00.25;177488;0,19;100;0:00.24;177464;0,19;100;0:00.24;177352;0,19;99;0:00.25;177600;45;45;10;0,194615385;99,46153846;177450,1538;177822,1538;max;9,35897E-05;max;1,7E-04
0,19;99;0:00.25;177248;0,19;100;0:00.24;177544;0,2;100;0:00.24;177388;0,19;99;0:00.24;177380;0,2;100;0:00.24;177248;0,19;100;0:00.25;177476;0,21;100;0:00.25;177252;0,19;100;0:00.24;177532;0,19;100;0:00.24;177472;0,2;99;0:00.24;177188;0,19;99;0:00.25;177468;0,2;100;0:00.24;177248;0,2;100;0:00.24;177360;50;50;10;0,195384615;99,69230769;177369,5385;177604,7646;avg;4,35897E-05;avg;7,8E-05
0,19;99;0:00.25;177196;0,21;99;0:00.25;177512;0,2;100;0:00.24;177608;0,2;100;0:00.25;177536;0,2;100;0:00.25;177188;0,2;100;0:00.25;177248;0,19;100;0:00.25;177392;0,19;100;0:00.25;177548;0,18;100;0:00.24;177260;0,18;99;0:00.24;177508;0,18;99;0:00.24;177364;0,2;99;0:00.25;177524;0,2;99;0:00.25;177432;55;55;10;0,193846154;99,53846154;177408,9231;;;9,23077E-05;;
0,19;99;0:00.25;177392;0,2;100;0:00.24;177196;0,2;100;0:00.24;177252;0,2;100;0:00.25;177352;0,18;100;0:00.24;177600;0,19;100;0:00.25;177428;0,19;99;0:00.24;177256;0,21;100;0:00.24;177612;0,19;100;0:00.25;177612;0,21;100;0:00.24;177524;0,2;99;0:00.25;177604;0,21;100;0:00.24;177248;0,19;99;0:00.25;177432;60;60;10;0,196923077;99,69230769;177423,6923;;;8,97436E-05;;
0,19;99;0:00.25;177532;0,2;100;0:00.24;177436;0,2;99;0:00.24;177544;0,2;100;0:00.25;177464;0,19;100;0:00.24;177360;0,19;100;0:00.25;177188;0,18;100;0:00.25;177440;0,18;100;0:00.24;177264;0,19;99;0:00.25;177372;0,19;99;0:00.24;177472;0,19;100;0:00.25;177444;0,19;99;0:00.25;177468;0,19;100;0:00.24;177472;65;65;10;0,190769231;99,61538462;177419,6923;;;4,10256E-05;;
0,19;100;0:00.25;177488;0,19;99;0:00.25;177392;0,19;100;0:00.24;177532;0,19;100;0:00.24;177504;0,2;100;0:00.24;177468;0,18;99;0:00.24;177428;0,21;100;0:00.25;177516;0,2;100;0:00.25;177440;0,21;99;0:00.25;177260;0,2;100;0:00.25;177252;0,19;99;0:00.25;177192;0,2;100;0:00.25;177524;0,21;100;0:00.25;177468;70;70;10;0,196923077;99,69230769;177420,3077;;;8,97436E-05;;
0,19;99;0:00.24;177252;0,19;99;0:00.24;177544;0,19;100;0:00.24;177392;0,21;100;0:00.25;177432;0,2;100;0:00.25;177464;0,2;100;0:00.25;177468;0,18;99;0:00.25;177372;0,19;100;0:00.25;177256;0,2;99;0:00.24;177516;0,2;100;0:00.25;177192;0,19;100;0:00.25;177472;0,19;100;0:00.24;177472;0,2;99;0:00.25;177192;75;75;10;0,194615385;99,61538462;177386,4615;;;6,02564E-05;;
0,2;99;0:00.25;177392;0,19;99;0:00.25;177368;0,19;100;0:00.25;177368;0,2;100;0:00.25;177600;0,2;100;0:00.24;177600;0,2;100;0:00.25;177352;0,21;100;0:00.25;177256;0,19;99;0:00.25;177476;0,2;100;0:00.25;177532;0,2;99;0:00.25;177252;0,21;100;0:00.25;177248;0,19;99;0:00.24;177524;0,19;99;0:00.24;177360;80;80;10;0,197692308;99,53846154;177409,8462;;;5,25641E-05;;
0,2;100;0:00.25;177436;0,2;100;0:00.24;177488;0,19;99;0:00.25;177472;0,2;100;0:00.24;177464;0,2;99;0:00.25;177600;0,19;99;0:00.25;177360;0,2;100;0:00.25;177612;0,2;99;0:00.24;177476;0,19;99;0:00.25;177532;0,19;100;0:00.24;177472;0,2;100;0:00.25;177252;0,2;99;0:00.25;177464;0,19;99;0:00.24;177388;80;85;10;0,196153846;99,46153846;177462,7692;;;2,5641E-05;;
0,19;99;0:00.24;177532;0,19;100;0:00.24;177476;0,2;100;0:00.24;177532;0,19;100;0:00.25;177600;0,19;100;0:00.24;177244;0,2;99;0:00.24;177600;0,2;100;0:00.25;177480;0,19;99;0:00.24;177256;0,19;99;0:00.24;177444;0,21;99;0:00.25;177484;0,19;99;0:00.25;177388;0,2;99;0:00.25;177508;0,2;100;0:00.24;177468;80;90;10;0,195384615;99,46153846;177462,4615;;;4,35897E-05;;
0,19;100;0:00.24;177360;0,2;99;0:00.24;177544;0,21;99;0:00.25;177476;0,2;100;0:00.24;177468;0,19;100;0:00.25;177352;0,21;99;0:00.24;177184;0,19;100;0:00.25;177440;0,2;99;0:00.25;177612;0,2;99;0:00.25;177364;0,21;100;0:00.24;177508;0,21;99;0:00.25;177508;0,19;99;0:00.24;177604;0,18;100;0:00.25;177528;80;95;10;0,198461538;99,46153846;177457,5385;;;9,74359E-05;;
