User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);User time (seconds);Percent of CPU;Wall clock time (h:mm:ss or m:ss);Maximum resident set size (kbytes);n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;;;varianza user time;;
0,22;135;0:00.33;672996;0,24;134;0:00.32;673032;0,21;137;0:00.32;672948;0,23;138;0:00.32;672884;0,22;133;0:00.33;673020;0,24;136;0:00.33;672944;0,19;132;0:00.33;673052;0,22;134;0:00.32;672992;0,21;132;0:00.32;672928;0,21;137;0:00.33;672912;0,24;135;0:00.33;673028;0,23;137;0:00.32;672920;0,24;136;0:00.32;673052;45;45;10;0,223076923;135,0769231;672977,5385;673054,4615;max;0,000239744;max;7,4E-04
0,24;136;0:00.33;672892;0,22;133;0:00.32;673056;0,24;135;0:00.32;672904;0,2;135;0:00.33;672984;0,24;135;0:00.33;673004;0,22;135;0:00.33;673004;0,22;138;0:00.32;673004;0,24;136;0:00.32;672996;0,2;136;0:00.32;673040;0,18;131;0:00.33;672940;0,22;136;0:00.32;672924;0,2;133;0:00.32;673032;0,22;137;0:00.33;673040;50;50;10;0,218461538;135,0769231;672986,1538;672996,662;avg;0,000364103;avg;3,7E-04
0,22;133;0:00.33;673052;0,2;133;0:00.33;672904;0,22;132;0:00.33;672996;0,21;132;0:00.32;672984;0,22;132;0:00.32;672944;0,24;135;0:00.32;673004;0,21;135;0:00.33;673168;0,24;138;0:00.32;673016;0,23;132;0:00.32;672936;0,22;137;0:00.32;672928;0,21;131;0:00.32;673048;0,24;131;0:00.33;672952;0,19;130;0:00.33;672996;55;55;10;0,219230769;133,1538462;672994,4615;;;0,000241026;;
0,22;134;0:00.32;672992;0,24;139;0:00.31;673016;0,2;132;0:00.32;673012;0,23;134;0:00.32;672928;0,22;137;0:00.33;672932;0,24;135;0:00.33;673160;0,2;134;0:00.33;673024;0,22;138;0:00.32;673020;0,27;135;0:00.33;673040;0,2;134;0:00.33;673032;0,21;135;0:00.33;672940;0,22;135;0:00.33;673012;0,25;135;0:00.32;672920;60;60;10;0,224615385;135,1538462;673002,1538;;;0,00044359;;
0,19;131;0:00.33;673028;0,22;134;0:00.32;673176;0,2;135;0:00.33;673020;0,21;134;0:00.32;673056;0,2;136;0:00.32;672924;0,2;137;0:00.33;673164;0,21;134;0:00.33;673068;0,19;132;0:00.33;672944;0,2;137;0:00.32;672936;0,24;133;0:00.32;672952;0,21;131;0:00.32;672960;0,22;135;0:00.33;672960;0,21;133;0:00.32;673044;65;65;10;0,207692308;134;673017,8462;;;0,000185897;;
0,23;135;0:00.33;673064;0,23;137;0:00.32;673016;0,26;135;0:00.33;673016;0,24;135;0:00.33;673044;0,2;131;0:00.32;672924;0,23;135;0:00.33;672900;0,24;133;0:00.33;672972;0,22;138;0:00.32;673072;0,23;136;0:00.33;673016;0,23;136;0:00.33;673040;0,25;135;0:00.32;672940;0,24;135;0:00.33;672936;0,22;133;0:00.33;673068;70;70;10;0,232307692;134,9230769;673000,6154;;;0,000219231;;
0,26;135;0:00.33;672928;0,23;137;0:00.32;673068;0,24;136;0:00.32;673184;0,2;133;0:00.32;672992;0,22;137;0:00.32;673004;0,23;135;0:00.32;672904;0,22;133;0:00.33;672924;0,21;134;0:00.32;672948;0,22;132;0:00.32;672940;0,21;136;0:00.33;673004;0,21;134;0:00.33;673016;0,25;137;0:00.32;672920;0,23;133;0:00.32;672924;75;75;10;0,225384615;134,7692308;672981,2308;;;0,00029359;;
0,25;137;0:00.32;673056;0,23;135;0:00.33;672944;0,22;133;0:00.32;673020;0,24;139;0:00.31;672916;0,22;135;0:00.32;673040;0,21;137;0:00.32;672912;0,25;137;0:00.33;672936;0,2;133;0:00.33;672932;0,21;138;0:00.32;673068;0,21;134;0:00.33;673020;0,22;136;0:00.33;672936;0,23;135;0:00.33;673068;0,22;134;0:00.33;673060;80;80;10;0,223846154;135,6153846;672992,9231;;;0,000242308;;
0,21;135;0:00.33;672908;0,22;135;0:00.33;673024;0,26;135;0:00.33;672964;0,22;133;0:00.32;672892;0,19;132;0:00.33;673176;0,23;135;0:00.32;672928;0,19;135;0:00.33;673016;0,23;135;0:00.32;672952;0,22;135;0:00.33;673020;0,21;137;0:00.33;673000;0,2;130;0:00.32;672940;0,25;135;0:00.33;672944;0,23;133;0:00.33;672924;80;85;10;0,22;134,2307692;672976;;;0,000433333;;
0,22;135;0:00.32;672924;0,21;133;0:00.32;673068;0,2;133;0:00.33;672920;0,18;137;0:00.32;672936;0,24;136;0:00.33;673044;0,22;136;0:00.32;672912;0,21;134;0:00.33;673012;0,24;136;0:00.32;672948;0,21;136;0:00.32;673088;0,23;138;0:00.32;672956;0,23;138;0:00.32;673016;0,19;135;0:00.33;672916;0,25;137;0:00.33;673008;80;90;10;0,217692308;135,6923077;672980,6154;;;0,000419231;;
0,21;131;0:00.33;673012;0,21;136;0:00.32;672952;0,21;130;0:00.33;673080;0,22;137;0:00.33;672936;0,22;133;0:00.32;672932;0,22;136;0:00.33;672944;0,2;130;0:00.33;673060;0,25;136;0:00.33;672932;0,21;137;0:00.32;672964;0,24;136;0:00.33;672912;0,24;132;0:00.32;673040;0,25;133;0:00.32;672932;0,22;130;0:00.32;673008;80;95;10;0,223076923;133,6153846;672977,2308;;;0,000273077;;
0,23;134;0:00.33;673072;0,24;137;0:00.33;672964;0,22;135;0:00.32;672956;0,23;136;0:00.33;672916;0,24;137;0:00.32;672956;0,23;133;0:00.32;673040;0,24;134;0:00.33;673012;0,21;135;0:00.33;672928;0,2;134;0:00.32;673028;0,22;136;0:00.33;673084;0,23;136;0:00.32;673064;0,23;135;0:00.32;673072;0,21;134;0:00.33;672904;80;100;10;0,225384615;135,0769231;672999,6923;;;0,000160256;;
0,2;134;0:00.33;672936;0,23;135;0:00.32;673088;0,26;136;0:00.32;673092;0,18;132;0:00.32;672992;0,17;127;0:00.32;673028;0,2;133;0:00.32;672924;0,22;136;0:00.33;673024;0,22;136;0:00.33;673020;0,23;133;0:00.33;673024;0,24;135;0:00.32;673084;0,22;134;0:00.33;672948;0,23;129;0:00.33;673096;0,25;137;0:00.32;673072;80;105;10;0,219230769;133,6153846;673025,2308;;;0,000674359;;
0,23;135;0:00.33;673076;0,22;136;0:00.33;672976;0,24;136;0:00.33;673032;0,18;134;0:00.32;673068;0,24;136;0:00.32;672920;0,22;134;0:00.33;672972;0,21;130;0:00.33;673192;0,22;136;0:00.33;672964;0,24;136;0:00.33;672976;0,23;137;0:00.33;673108;0,22;137;0:00.33;673012;0,21;133;0:00.33;672972;0,21;136;0:00.33;673180;80;110;10;0,220769231;135,0769231;673034,4615;;;0,000274359;;
0,23;137;0:00.33;672948;0,24;136;0:00.32;672936;0,23;136;0:00.33;673088;0,24;135;0:00.32;673172;0,2;134;0:00.31;673036;0,22;136;0:00.33;673052;0,22;134;0:00.33;673072;0,19;128;0:00.33;672972;0,24;136;0:00.33;672956;0,24;135;0:00.32;673056;0,25;137;0:00.33;673032;0,21;137;0:00.31;672936;0,24;133;0:00.32;672944;80;115;10;0,226923077;134,9230769;673015,3846;;;0,000323077;;
