;;;BFKC;;;DSK;;;KMC;;;TURTLE;;
n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set
80;130;15;3,311538462;99,61538462;1849,538462;0,225384615;135,2307692;673017,5385;0,330769231;86,92307692;37063,38462;0,195384615;99,30769231;177704,6154
80;135;15;3,563846154;99,69230769;1904,307692;0,220769231;135,3076923;672984,9231;0,323846154;87,15384615;37063,07692;0,196153846;99,46153846;177643,0769
80;140;15;3,843846154;99,69230769;1915,076923;0,225384615;135,5384615;672965,5385;0,323076923;87,53846154;37061,53846;0,196923077;99,61538462;177783,0769
80;145;15;4,113846154;99,69230769;1942,153846;0,215384615;135,0769231;672986,4615;0,327692308;86,69230769;37062,76923;0,202307692;99,53846154;177796,9231
80;150;15;4,413076923;99,76923077;1970,153846;0,228461538;135;672980,3077;0,326153846;86,76923077;37061,84615;0,197692308;99,46153846;177796
80;155;15;4,722307692;99,84615385;1974,461538;0,230769231;135,3076923;672978,4615;0,327692308;87,30769231;37073,84615;0,193076923;99,69230769;177800
80;160;15;5;99,92307692;1968,615385;0,222307692;134,5384615;672988,3077;0,326153846;86,61538462;37075,07692;0,195384615;99,46153846;177808,9231
80;165;15;5,31;99,84615385;1973,230769;0,225384615;135,3076923;673012,9231;0,325384615;87,30769231;37075,38462;0,200769231;99,38461538;177787,6923
80;170;15;5,663846154;99,38461538;1992,307692;0,217692308;134,2307692;672994,1538;0,323076923;87,30769231;37074,76923;0,201538462;99,23076923;177847,6923
80;175;15;6,013846154;99,69230769;2024,307692;0,22;135,1538462;673009,2308;0,326923077;86,84615385;37073,84615;0,195384615;99,38461538;177786,7692
80;180;15;6,364615385;99,92307692;2015,692308;0,210769231;129,9230769;673034,7692;0,330769231;87,30769231;37076;0,195384615;99,61538462;177797,8462
80;185;15;6,702307692;99,61538462;2058,769231;0,219230769;135,0769231;672968,3077;0,318461538;84,76923077;37074,15385;0,194615385;99,38461538;177799,3846
80;190;15;7,096153846;99,69230769;2068;0,221538462;134,4615385;672957,8462;0,32;87,69230769;37075,69231;0,194615385;65,30769231;177787,3846
80;195;15;7,432307692;99,53846154;2090,153846;0,217692308;134,8461538;673005,5385;0,323846154;86,76923077;37074,46154;0,196153846;65,15384615;177793,2308
80;200;15;7,833846154;99,69230769;2096;0,229230769;135,4615385;672982,7692;0,329230769;86,92307692;37076;0,192307692;65,23076923;177776
40;40;20;0,04;98,84615385;1532,615385;0,219230769;134,7692308;672962,7692;0,33;87;37038,76923;0,193076923;99,46153846;177411,0769
45;45;20;0,079230769;99,07692308;1541,846154;0,220769231;135,3076923;673002,7692;0,331538462;87,92307692;37038,46154;0,193846154;99,46153846;177414,4615
50;50;20;0,141538462;99,84615385;1560;0,220769231;134,8461538;673000;0,327692308;87,92307692;37038,46154;0,194615385;99,76923077;177353,8462
55;55;20;0,233076923;99,76923077;1556;0,213076923;133,7692308;673007,6923;0,329230769;87,23076923;37038,76923;0,193076923;99,61538462;177416,3077
60;60;20;0,360769231;99,84615385;1609,538462;0,221538462;135,0769231;672981,2308;0,33;87,84615385;37038,76923;0,190769231;99,53846154;177453,8462
65;65;20;0,53;99,76923077;1651,384615;0,228461538;134,7692308;673030,1538;0,333076923;87,53846154;37051,38462;0,196923077;99,46153846;177488
70;70;20;0,753846154;99,92307692;1659,692308;0,211538462;135,3076923;673001,2308;0,331538462;87,15384615;37050,46154;0,197692308;99,46153846;177455,6923
